               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,            0.056981,             0.92301,            0.014858,             0.11415,             0.17858,             0.10385,            0.045934,            0.057573,               1.154,            0.014171,             0.00739,             0.00739,             0.00739
                  89,            0.056227,             0.91137,            0.014579,             0.17639,             0.19256,             0.17514,             0.08121,            0.054511,              1.1372,            0.014531,             0.00736,             0.00736,             0.00736
                  90,            0.054968,             0.91559,            0.015044,             0.17639,             0.19256,             0.17514,             0.08121,            0.054511,              1.1372,            0.014531,             0.00733,             0.00733,             0.00733
                  91,            0.055648,             0.91762,            0.015209,             0.17639,             0.19256,             0.17514,             0.08121,            0.054511,              1.1372,            0.014531,              0.0073,              0.0073,              0.0073
                  92,            0.053607,             0.87564,            0.014772,               0.389,             0.19893,             0.14069,            0.058629,            0.055378,              1.1256,            0.013925,             0.00727,             0.00727,             0.00727
                  93,            0.053426,             0.85708,            0.014842,               0.389,             0.19893,             0.14069,            0.058629,            0.055378,              1.1256,            0.013925,             0.00724,             0.00724,             0.00724
                  94,            0.055179,             0.90333,            0.015212,             0.40875,             0.19799,             0.16141,            0.060714,            0.054548,              1.1363,            0.014508,             0.00721,             0.00721,             0.00721
                  95,            0.054312,             0.93008,            0.015011,             0.40875,             0.19799,             0.16141,            0.060714,            0.054548,              1.1363,            0.014508,             0.00718,             0.00718,             0.00718
                  96,            0.054481,             0.91548,            0.015154,             0.40875,             0.19799,             0.16141,            0.060714,            0.054548,              1.1363,            0.014508,             0.00715,             0.00715,             0.00715
                  97,            0.053906,             0.89601,            0.014951,             0.37767,              0.1938,             0.14725,            0.063582,            0.053189,              1.0794,            0.014353,             0.00712,             0.00712,             0.00712
                  98,            0.052777,             0.87139,            0.014571,             0.37767,              0.1938,             0.14725,            0.063582,            0.053189,              1.0794,            0.014353,             0.00709,             0.00709,             0.00709
                  99,            0.053397,             0.86237,            0.014681,             0.40037,             0.19702,             0.17088,            0.080181,            0.055466,              1.1699,            0.014153,             0.00706,             0.00706,             0.00706
                 100,            0.055858,             0.91803,            0.015422,             0.40037,             0.19702,             0.17088,            0.080181,            0.055466,              1.1699,            0.014153,             0.00703,             0.00703,             0.00703
                 101,            0.055761,             0.92723,             0.01518,             0.40037,             0.19702,             0.17088,            0.080181,            0.055466,              1.1699,            0.014153,               0.007,               0.007,               0.007
                 102,            0.052847,              0.8278,            0.015049,             0.17058,             0.19645,             0.18942,            0.088802,            0.053599,              1.0426,            0.014917,             0.00697,             0.00697,             0.00697
                 103,            0.052565,             0.81574,            0.015071,             0.17058,             0.19645,             0.18942,            0.088802,            0.053599,              1.0426,            0.014917,             0.00694,             0.00694,             0.00694
                 104,            0.055528,             0.88095,            0.014895,             0.44017,             0.20589,             0.19311,            0.089189,            0.059996,               1.192,            0.014388,             0.00691,             0.00691,             0.00691
                 105,            0.059923,             0.93505,            0.014611,             0.44017,             0.20589,             0.19311,            0.089189,            0.059996,               1.192,            0.014388,             0.00688,             0.00688,             0.00688
                 106,            0.059858,             0.95309,            0.014346,             0.62116,             0.18563,             0.13212,             0.06377,            0.057384,              1.0304,             0.01447,             0.00685,             0.00685,             0.00685
                 107,            0.058646,             0.80388,            0.017053,             0.62116,             0.18563,             0.13212,             0.06377,            0.057384,              1.0304,             0.01447,             0.00682,             0.00682,             0.00682
                 108,            0.057232,             0.79988,            0.014798,             0.62116,             0.18563,             0.13212,             0.06377,            0.057384,              1.0304,             0.01447,             0.00679,             0.00679,             0.00679
                 109,            0.056472,             0.84186,            0.014712,             0.44495,             0.22435,             0.20869,            0.088744,            0.056684,               1.177,            0.014026,             0.00676,             0.00676,             0.00676
                 110,            0.055594,             0.88215,            0.014588,             0.44495,             0.22435,             0.20869,            0.088744,            0.056684,               1.177,            0.014026,             0.00673,             0.00673,             0.00673
                 111,            0.055491,             0.88429,            0.014495,             0.18908,             0.20823,             0.20552,            0.099248,             0.05161,              1.0537,            0.014412,              0.0067,              0.0067,              0.0067
                 112,            0.051618,             0.81582,            0.014601,             0.18908,             0.20823,             0.20552,            0.099248,             0.05161,              1.0537,            0.014412,             0.00667,             0.00667,             0.00667
                 113,            0.051722,             0.81969,            0.014788,             0.18908,             0.20823,             0.20552,            0.099248,             0.05161,              1.0537,            0.014412,             0.00664,             0.00664,             0.00664
                 114,            0.051719,             0.82092,            0.014455,             0.43154,             0.20823,             0.20112,             0.10023,            0.051554,              1.0588,            0.013825,             0.00661,             0.00661,             0.00661
                 115,            0.051641,             0.81355,            0.014467,             0.43154,             0.20823,             0.20112,             0.10023,            0.051554,              1.0588,            0.013825,             0.00658,             0.00658,             0.00658
                 116,            0.051097,             0.81275,            0.014276,             0.92324,             0.20338,             0.32064,             0.11799,            0.049264,               1.097,            0.014231,             0.00655,             0.00655,             0.00655
                 117,            0.050987,             0.88556,            0.015054,             0.92324,             0.20338,             0.32064,             0.11799,            0.049264,               1.097,            0.014231,             0.00652,             0.00652,             0.00652
                 118,            0.048974,             0.83418,            0.014466,             0.92324,             0.20338,             0.32064,             0.11799,            0.049264,               1.097,            0.014231,             0.00649,             0.00649,             0.00649
                 119,            0.048465,             0.80567,            0.014406,             0.43243,             0.21398,              0.2011,             0.10142,            0.048648,              1.0213,            0.014062,             0.00646,             0.00646,             0.00646
                 120,             0.04955,             0.83468,             0.01447,             0.43243,             0.21398,              0.2011,             0.10142,            0.048648,              1.0213,            0.014062,             0.00643,             0.00643,             0.00643
                 121,            0.049516,             0.82338,            0.014585,              0.4004,             0.19955,             0.17782,            0.081675,            0.049148,               1.118,            0.013874,              0.0064,              0.0064,              0.0064
                 122,            0.048291,             0.84192,            0.014354,              0.4004,             0.19955,             0.17782,            0.081675,            0.049148,               1.118,            0.013874,             0.00637,             0.00637,             0.00637
                 123,            0.048219,             0.84982,            0.014335,              0.4004,             0.19955,             0.17782,            0.081675,            0.049148,               1.118,            0.013874,             0.00634,             0.00634,             0.00634
                 124,            0.047933,             0.80115,            0.014434,             0.92151,             0.20976,             0.31809,             0.15588,            0.048402,              1.0494,            0.014542,             0.00631,             0.00631,             0.00631
                 125,            0.047119,             0.78543,             0.01447,             0.92151,             0.20976,             0.31809,             0.15588,            0.048402,              1.0494,            0.014542,             0.00628,             0.00628,             0.00628
                 126,            0.047721,             0.80137,            0.014262,             0.41651,             0.21268,             0.18397,            0.078918,            0.048908,              1.1313,            0.013645,             0.00625,             0.00625,             0.00625
                 127,            0.047668,             0.82353,             0.01437,             0.41651,             0.21268,             0.18397,            0.078918,            0.048908,              1.1313,            0.013645,             0.00622,             0.00622,             0.00622
                 128,            0.047773,             0.83994,            0.013972,             0.41651,             0.21268,             0.18397,            0.078918,            0.048908,              1.1313,            0.013645,             0.00619,             0.00619,             0.00619
